date,title,description,sentiment,confidence
2025-07-12,Trump tax law quietly takes aim at popular perk: office snacks,"U.S. companies that continue to provide office snacks, coffee or on-site lunches will see them taxed after Dec. 31.",neutral,0.8105381727218628
2025-07-12,Five Themes for Investors to Watch as Earnings Season Kicks Off,"In just three months, US stocks have swung from a dramatic April selloff to new heights. Now, traders are about to see if Corporate America’s report cards justify the optimism priced into equity markets.",positive,0.48824745416641235
2025-07-12,"Google strikes $2.4 bn deal with Windsurf, to hire CEO Varun Mohan, get AI licensing rights after OpenAI talks collapse",Alphabet Inc. has finalised a $2.4 billion deal to recruit executives from AI startup Windsurf after negotiations with OpenAI stalled. Windsurf CEO Varun Mohan and others will join Google's DeepMind team.,neutral,0.8124219179153442
2025-07-12,Promising Infrastructure Stocks To Keep An Eye On – July 10th,"NVIDIA, Coinbase Global, Alphabet, Broadcom, and Vertiv are the five Infrastructure stocks to watch today, according to MarketBeat’s stock screener tool. Infrastructure stocks are shares of companies that build, operate or maintain essential physical assets—s…",neutral,0.9462785720825195
2025-07-12,Top Cybersecurity Stocks To Watch Now – July 9th,"Alphabet, CrowdStrike, and Palo Alto Networks are the three Cybersecurity stocks to watch today, according to MarketBeat’s stock screener tool. Cybersecurity stocks are shares of publicly traded companies whose primary business is developing, selling, or mana…",neutral,0.9385455846786499
2025-07-12,"Braun Stacey Associates Inc. Sells 3,288 Shares of Alphabet Inc. (NASDAQ:GOOGL)","Braun Stacey Associates Inc. reduced its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.0% during the 1st quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The firm owned 330,232 shares of the inf…",negative,0.8949667811393738
2025-07-12,"Sutton Place Investors LLC Sells 1,709 Shares of Alphabet Inc. (NASDAQ:GOOGL)","Sutton Place Investors LLC reduced its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 28.0% in the 1st quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The institutional investor owned 4,400 shares…",negative,0.9486566185951233
2025-07-12,HM Payson & Co. Has $77.56 Million Stock Holdings in Alphabet Inc. (NASDAQ:GOOGL),"HM Payson & Co. lowered its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 0.6% during the first quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owned 501,553 shares o…",negative,0.9060065746307373
2025-07-12,Macroview Investment Management LLC Buys 995 Shares of Alphabet Inc. (NASDAQ:GOOGL),"Macroview Investment Management LLC grew its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 77.0% in the first quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 2,288 share…",positive,0.8476983904838562
2025-07-12,"Trump Pushes Google, Amazon, Microsoft To Cut Cloud Prices: $20 Billion IT Budget On Chopping Block As Oracle Sets Precedent: Report - Adobe (NASDAQ:ADBE), Amazon.com (NASDAQ:AMZN)",Alphabet Inc.‘s GOOGL GOOG Google division will heavily discount cloud computing services for the U.S. government as the Trump administration pressures technology giants to slash prices on lucrative federal contracts worth more than $20 billion annually. What…,negative,0.8894155621528625
2025-07-12,"Compton Wealth Advisory Group LLC Sells 2,069 Shares of Alphabet Inc. (NASDAQ:GOOGL)","Compton Wealth Advisory Group LLC lowered its stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 4.6% during the first quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The fund owned 43…",negative,0.8820158243179321
2025-07-12,Alphabet Inc. (NASDAQ:GOOGL) Shares Acquired by Sharp Financial Services LLC,"Sharp Financial Services LLC boosted its stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 39.3% in the first quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The firm owned 7,162 shares of the inf…",positive,0.9265332818031311
2025-07-12,Alphabet Inc. (NASDAQ:GOOGL) Shares Sold by Novare Capital Management LLC,"Novare Capital Management LLC lessened its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 2.6% in the first quarter, according to its most recent filing with the SEC. The firm owned 176,212 shares of the information services provider’s st…",negative,0.6925768256187439
2025-07-12,Acorn Financial Advisory Services Inc. ADV Lowers Stock Position in Alphabet Inc. (NASDAQ:GOOGL),"Acorn Financial Advisory Services Inc. ADV lowered its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 7.2% in the 1st quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The firm owned 13,395…",negative,0.9638769030570984
2025-07-11,xAI reportedly raising new funding at up to $200B valuation,"Weeks after its last funding round, xAI Holdings Corp. is reportedly in talks to raise new capital at a valuation of $170 billion to $200 billion. The Financial Times today cited sources as saying that Saudi Arabia’s PIF sovereign wealth fund is expected to p…",positive,0.626722514629364
2025-07-11,TD Cowen Reiterates Buy on Alphabet (GOOGL) Ahead of Earnings—Here’s Why,"Alphabet Inc. (NASDAQ:GOOGL) is one of the AI Stocks Making Waves on Wall Street. On July 9, TD Cowen analyst John Blackledge reiterated a “Buy” rating on...",neutral,0.8453302979469299
2025-07-11,Dan Ives Says Apple (AAPL) Must Acquire Perplexity—Here’s Why It’s a ‘No-Brainer’,"Apple Inc. (NASDAQ:AAPL) is one of the AI Stocks Making Waves on Wall Street. On July 9, Wedbush reiterated its “Outperform” rating on the stock and...",positive,0.5428196787834167
2025-07-11,"OneDigital Investment Advisors LLC Sells 12,510 Shares of Alphabet Inc. (NASDAQ:GOOGL)","OneDigital Investment Advisors LLC decreased its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 5.0% during the first quarter, according to the company in its most recent disclosure with the SEC. The firm owned 238,283 shares of the information ser…",negative,0.9697638750076294
2025-07-11,Alphabet Inc. (NASDAQ:GOOGL) is Hartline Investment Corp’s 5th Largest Position,"Hartline Investment Corp trimmed its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.6% in the 1st quarter, HoldingsChannel reports. The firm owned 226,379 shares of the information services provider’s stock after selling 3,703 shares during the q…",negative,0.9039329290390015
2025-07-11,"Brookstone Capital Management Sells 15,697 Shares of Alphabet Inc. (NASDAQ:GOOGL)","Brookstone Capital Management cut its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 4.7% in the first quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 317,991 shares of the …",negative,0.9535545110702515
2025-07-11,"Fisher Funds Management LTD Acquires 32,237 Shares of Alphabet Inc. (NASDAQ:GOOGL)","Fisher Funds Management LTD grew its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 3.5% during the 1st quarter, Holdings Channel.com reports. The firm owned 954,623 shares of the information services provider’s stock after purchasing an …",positive,0.8698800206184387
