date,title,description,sentiment,confidence
2025-07-12,"Mouse drag, Quasar in Event Viewer though can not find it, Network Errors","Mouse drag, Quasar in Event Viewer though can not find it, Network Errors - posted in Virus, Trojan, Spyware, and Malware Removal Help: Just went weird after plugin of a battery charger to USB Port. Programs & launchers disappear at times and need to laun…",negative,0.7308474183082581
2025-07-12,These are America's 10 strongest state economies best prepared for a recession,"With concerns about a possible recession, states are promoting themselves to business as economically strong and stable. These ten states prove it.",positive,0.7688516974449158
2025-07-12,Merck Faces Pressure Over Global Tax Practices,"Big pharma competes bitterly with the tech giants for the title of the most dodgy corporate sector in the world. Given this battle, it is astonishing that, on May 27, 2025, nearly one-quarter of shareholders at Merck & Co. (MRK, known outside of North America…",neutral,0.6140909790992737
2025-07-12,CX Institutional Has $31.60 Million Stock Position in Microsoft Corporation (NASDAQ:MSFT),"CX Institutional lifted its holdings in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 7.4% during the 1st quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The fund owned 84,176 shares …",positive,0.9337846040725708
2025-07-12,Monarch Capital Management Inc. Reduces Stock Holdings in Microsoft Corporation (NASDAQ:MSFT),"Monarch Capital Management Inc. lowered its stake in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 0.5% during the first quarter, HoldingsChannel reports. The firm owned 50,164 shares of the software giant’s stock after selling 243 shares dur…",negative,0.9424437284469604
2025-07-12,Microsoft Corporation (NASDAQ:MSFT) Stock Position Trimmed by Franklin Street Advisors Inc. NC,"Franklin Street Advisors Inc. NC reduced its stake in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 2.2% during the first quarter, HoldingsChannel reports. The firm owned 226,407 shares of the software giant’s stock after selling 5,013 shares during th…",negative,0.9659706354141235
2025-07-12,Latko Wealth Management Ltd. Reduces Position in Microsoft Corporation (NASDAQ:MSFT),"Latko Wealth Management Ltd. lessened its holdings in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 31.2% during the 1st quarter, HoldingsChannel reports. The fund owned 782 shares of the software giant’s stock after selling 354 shares during…",positive,0.9228476881980896
2025-07-12,Curated Wealth Partners LLC Grows Position in Microsoft Corporation (NASDAQ:MSFT),"Curated Wealth Partners LLC boosted its holdings in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 4.1% during the 1st quarter, according to its most recent disclosure with the SEC. The firm owned 16,296 shares of the software giant’s stock after buying…",positive,0.9073092937469482
2025-07-12,Top Blockchain Stocks To Keep An Eye On – July 9th,"Oracle, Core Scientific, Riot Platforms, Applied Digital, BTCS, HIVE Digital Technologies, and Globant are the seven Blockchain stocks to watch today, according to MarketBeat’s stock screener tool. Blockchain stocks are shares of publicly traded companies who…",neutral,0.9408966302871704
2025-07-12,Moseley Investment Management Inc. Acquires 109 Shares of Microsoft Corporation (NASDAQ:MSFT),"Moseley Investment Management Inc. increased its holdings in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 0.5% during the first quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 23,2…",positive,0.8404848575592041
2025-07-12,Oak Family Advisors LLC Trims Stake in Microsoft Corporation (NASDAQ:MSFT),"Oak Family Advisors LLC decreased its position in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 76.5% during the first quarter, according to its most recent filing with the SEC. The firm owned 3,287 shares of the software giant’s stock after …",negative,0.9733284711837769
2025-07-12,Dividend Assets Capital LLC Has $28.85 Million Stock Position in Microsoft Corporation (NASDAQ:MSFT),"Dividend Assets Capital LLC trimmed its stake in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 3.1% in the 1st quarter, HoldingsChannel reports. The fund owned 76,855 shares of the software giant’s stock after selling 2,456 shares during the quarter. M…",negative,0.6890953779220581
2025-07-12,"Petredis Investment Advisors LLC Buys 1,519 Shares of Microsoft Corporation (NASDAQ:MSFT)","Petredis Investment Advisors LLC lifted its stake in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 1.2% during the 1st quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 125,372 shar…",positive,0.818760871887207
2025-07-12,Microsoft (NASDAQ:MSFT) Price Target Raised to $600.00 at Piper Sandler,"Microsoft (NASDAQ:MSFT – Get Free Report) had its target price boosted by equities researchers at Piper Sandler from $475.00 to $600.00 in a report released on Thursday, Marketbeat Ratings reports. The brokerage currently has an “overweight” rating on the sof…",positive,0.9249322414398193
2025-07-11,The AI Boom Is Running Out of Power – Here’s the Solution (And How to Profit),"If you’ve been following the AI Boom, you know companies like Microsoft Corporation (MSFT), Amazon.com, Inc. (AMZN), and OpenAI have been making headlines almost every day. But there’s one big question on everyone’s mind: How will we power the explosive growt…",neutral,0.9171995520591736
2025-07-11,"Six companies, one coast, $17 trillion","Nvidia's $4 trillion valuation underscores the unprecedented power and wealth, centered on the northwest coast of the US.",positive,0.5868023037910461
2025-07-11,"Pharma 4.0 Market Size to Hit USD 55.16 Billion by 2032, grow at a CAGR of 18.5%| Coherent Market Insights","Burlingame, CA, July 11, 2025 (GLOBE NEWSWIRE) -- The global Pharma 4.0 Market size is expected to reach US$ 55.16 Bn by 2032 from US$ 16.81 Bn in 2025, exhibiting a compound annual growth rate (CAGR) of 18.5% during the forecast period. Pharma 4.0 is an emer…",positive,0.9437791109085083
2025-07-11,"Drop Into Tony Hawk's Pro Skater 3 and 4, Now on Xbox Game Pass",High on Life is also returning to Xbox Game Pass soon.,neutral,0.9188310503959656
2025-07-11,Improved Demand for Azure Services Boosted Microsoft (MSFT) in Q2,"Mar Vista Investment Partners, LLC, an investment management company, released its “Mar Vista U.S. Quality Premier Strategy” second-quarter 2025 investor...",positive,0.8480018377304077
2025-07-11,Microsoft (MSFT) Gets $600 Price Target—Oppenheimer Calls It a Long-Term AI Winner,"Microsoft Corporation (NASDAQ:MSFT) is one of the AI Stocks Making Waves on Wall Street. On July 9, Oppenheimer upgraded the stock to “Outperform” from...",positive,0.908113420009613
2025-07-11,"Tandy Corporation, Part 3 Becoming IBM Compatible",Becoming IBM Compatible,neutral,0.8973516821861267
2025-07-11,"Microsoft offers EU cloud providers fresh commercial terms, staves off risk of litigation",Agreement or otherwise expected from CISPE top brass before August Exclusive Microsoft has tabled a fresh set of commercial terms for an association of cloud providers in Europe that earlier filed a complaint with antitrust authorities in the trading bloc ove…,positive,0.6245438456535339
2025-07-11,SJS Investment Consulting Inc. Increases Position in Microsoft Corporation (NASDAQ:MSFT),"SJS Investment Consulting Inc. raised its holdings in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 18.8% during the 1st quarter, Holdings Channel.com reports. The firm owned 8,911 shares of the software giant’s stock after acquiring an additional 1,41…",positive,0.933607816696167
2025-07-11,Microsoft Corporation (NASDAQ:MSFT) Position Lifted by Kingstone Capital Partners Texas LLC,"Kingstone Capital Partners Texas LLC increased its position in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 0.4% during the first quarter, according to its most recent filing with the Securities & Exchange Commission. The fund owned 16,041 s…",positive,0.9492844343185425
2025-07-11,Manitou Investment Management Ltd. Reduces Position in Microsoft Corporation (NASDAQ:MSFT),"Manitou Investment Management Ltd. decreased its position in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 8.6% during the first quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The firm owned 1…",negative,0.9728255867958069
2025-07-11,Livforsakringsbolaget Skandia Omsesidigt Has $103.23 Million Stock Position in Microsoft Corporation (NASDAQ:MSFT),"Livforsakringsbolaget Skandia Omsesidigt lowered its holdings in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 0.5% in the 1st quarter, HoldingsChannel reports. The firm owned 275,392 shares of the software giant’s stock after selling 1,500 shares duri…",negative,0.9456713795661926
2025-07-11,Shira Ridge Wealth Management Acquires 133 Shares of Microsoft Corporation (NASDAQ:MSFT),"Shira Ridge Wealth Management boosted its holdings in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 2.1% during the first quarter, HoldingsChannel.com reports. The fund owned 6,407 shares of the software giant’s stock after purchasing an additional 133…",positive,0.8727139234542847
2025-07-11,Walker Asset Management LLC Has $4.52 Million Stake in Microsoft Corporation (NASDAQ:MSFT),"Walker Asset Management LLC lowered its stake in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 1.3% in the first quarter, according to its most recent disclosure with the Securities & Exchange Commission. The firm owned 12,035 shares of the s…",negative,0.9243543148040771
2025-07-10,Where has all the corporate activism gone?,"Many firms have gone quiet on LGBTQ and climate change. Is that because they don’t believe in the causes anymore, or are they waiting out the storm? The post Where has all the corporate activism gone? first appeared on LSE Business Review.",neutral,0.7106000185012817
2025-07-10,Accenture and Microsoft Expand Collaboration on Gen-AI Powered Cyber Solutions,Accenture and Microsoft Corporation are co-investing in the development of advanced generative AI-driven cyber solutions to help organizations mitigate threats and consolidate technology tools while optimizing operational costs.,positive,0.8289085030555725
2025-07-10,Automated Test Equipment Market to Hit Valuation of US$ 11.57 Billion By 2033 | Astute Analytica,"Automated test equipment market is pivoting from speed-centric instruments toward cloud-anchored, AI-driven, mixed-signal platforms that handle 6G, EV and compound-semiconductor complexities while open standards and regional subsidies reshape supply chains an…",positive,0.6095031499862671
