date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-14,AMZN,82,2,67,13,0.5116,0.8386,0.8405
2025-07-14,AAPL,83,7,59,17,0.5758,0.8256,0.7629
2025-07-14,GOOGL,84,1,73,10,0.5422,0.8045,0.729
2025-07-14,005930.KS,83,10,68,5,0.7415,0.8013,0.7958
2025-07-14,2317.TW,37,9,21,7,0.8782,0.7545,0.9219
2025-07-14,MSFT,82,8,58,16,0.7649,0.7936,0.8381
2025-07-14,JD,1,1,0,0,0.9285,0.0,0.0
2025-07-14,BABA,57,18,30,9,0.7973,0.8862,0.9266
2025-07-14,T,81,5,49,27,0.8551,0.8137,0.8372
2025-07-14,META,84,11,57,16,0.7451,0.8291,0.8239
