date,title,description,sentiment,confidence
2025-06-29,Tech stocks are powering this record-setting rally on Wall Street — but how long can it last?,Whether the record-setting stock rally is built to last may come down to one of the market’s most longstanding questions: How broad is the rally?,neutral,0.9076091051101685
2025-06-29,"The government is prepping to talk about productivity but AI, not just tax, must be part of conversation",The economic reform round table set down for August will talk about tax reform but a strategy for the future of artificial intelligence and robots should be part of the conversation.,neutral,0.9354833364486694
2025-06-29,META’s Latest AI Move? More Wind and Solar to Fuel Data Growth,"In This Article: Meta Platforms, Inc. (NASDAQ:META) is one of the 10 AI Stocks Investors are Watching. On June 26, Meta Platforms and renewable energy developer Invenergy reported having signed four deals to supply 791 megawatts (MW) more of solar and wind po…",positive,0.8421277403831482
2025-06-29,"Sequoia Financial Advisors LLC Increases Holdings in Meta Platforms, Inc. (NASDAQ:META)","Sequoia Financial Advisors LLC raised its stake in shares of Meta Platforms, Inc. (NASDAQ:META – Free Report) by 9.2% in the first quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 189,614 shares…",positive,0.9320285320281982
2025-06-29,"Aspetuck Financial Management LLC Invests $1.13 Million in Meta Platforms, Inc. (NASDAQ:META)","Aspetuck Financial Management LLC purchased a new position in shares of Meta Platforms, Inc. (NASDAQ:META – Free Report) during the first quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission (SEC). The fi…",neutral,0.9294903874397278
2025-06-29,"Value Partners Investments Inc. Purchases New Holdings in Meta Platforms, Inc. (NASDAQ:META)","Value Partners Investments Inc. purchased a new stake in Meta Platforms, Inc. (NASDAQ:META – Free Report) in the 1st quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The institutional investor purcha…",neutral,0.9232876896858215
2025-06-29,"Terra Nova Asset Management LLC Has $2.55 Million Stock Position in Meta Platforms, Inc. (NASDAQ:META)","Terra Nova Asset Management LLC increased its stake in shares of Meta Platforms, Inc. (NASDAQ:META – Free Report) by 3.8% during the 1st quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The institution…",positive,0.9326801300048828
2025-06-29,"SOL Capital Management CO Lowers Stock Position in Meta Platforms, Inc. (NASDAQ:META)","SOL Capital Management CO reduced its stake in Meta Platforms, Inc. (NASDAQ:META – Free Report) by 1.2% during the first quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owned …",negative,0.9697204828262329
2025-06-29,"Meta Platforms, Inc. (NASDAQ:META) Shares Acquired by Wealth Effects LLC","Wealth Effects LLC increased its stake in shares of Meta Platforms, Inc. (NASDAQ:META – Free Report) by 4.0% in the first quarter, according to its most recent 13F filing with the SEC. The firm owned 12,151 shares of the social networking company’s stock afte…",positive,0.8715581893920898
2025-06-29,"Phillips Wealth Planners LLC Boosts Stake in Meta Platforms, Inc. (NASDAQ:META)","Phillips Wealth Planners LLC raised its holdings in shares of Meta Platforms, Inc. (NASDAQ:META – Free Report) by 7.6% in the 1st quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The institutional inve…",positive,0.94328373670578
2025-06-29,"Alpine Bank Wealth Management Invests $2.49 Million in Meta Platforms, Inc. (NASDAQ:META)","Alpine Bank Wealth Management acquired a new position in Meta Platforms, Inc. (NASDAQ:META – Free Report) during the first quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional investor acquir…",neutral,0.883908748626709
2025-06-29,"NRI Wealth Management LC Buys 2,981 Shares of Meta Platforms, Inc. (NASDAQ:META)","NRI Wealth Management LC grew its stake in shares of Meta Platforms, Inc. (NASDAQ:META – Free Report) by 294.0% in the first quarter, according to the company in its most recent filing with the SEC. The firm owned 3,995 shares of the social networking company…",positive,0.814599871635437
2025-06-29,"Tyche Wealth Partners LLC Increases Stock Position in Meta Platforms, Inc. (NASDAQ:META)","Tyche Wealth Partners LLC grew its stake in Meta Platforms, Inc. (NASDAQ:META – Free Report) by 7.4% in the 1st quarter, Holdings Channel reports. The firm owned 5,069 shares of the social networking company’s stock after purchasing an additional 351 shares d…",positive,0.92695152759552
2025-06-29,"Omnia Family Wealth LLC Grows Holdings in Meta Platforms, Inc. (NASDAQ:META)","Omnia Family Wealth LLC grew its stake in Meta Platforms, Inc. (NASDAQ:META – Free Report) by 22.9% during the first quarter, Holdings Channel.com reports. The fund owned 4,139 shares of the social networking company’s stock after acquiring an additional 770 …",positive,0.755233883857727
2025-06-28,Meta taps four OpenAI researchers for Superintelligence team,"Meta Platforms Inc. has hired four notable artificial intelligence researchers from OpenAI, ramping up a hiring spree for its Superintelligence group. The company on Friday signed on Jiahui Yu, Shuchao Bi, Shengjia Zhao and Hongyu Ren, according to people wi…",positive,0.633586049079895
2025-06-28,Meta taps four OpenAI researchers for Superintelligence team,"The company on Friday signed on Jiahui Yu, Shuchao Bi, Shengjia Zhao and Hongyu Ren, according to people with knowledge of the matter.",neutral,0.8459930419921875
2025-06-28,Meta said to hire 4 more OpenAI researchers,"Meta Platforms Inc. has hired four more OpenAI researchers, The Information reported on Saturday, citing a person familiar with the matter.According to the report, Shengjia Zhao, Jiahui Yu, Shuchao Bi...",neutral,0.863490104675293
2025-06-28,"ROSEN, SKILLED INVESTOR COUNSEL, Encourages DoubleVerify Holdings, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action – DV","NEW YORK, June 28, 2025 (GLOBE NEWSWIRE) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of common stock of DoubleVerify Holdings, Inc. (NYSE: DV) between November 10, 2023 and February 27, 2025, both dates inclusive (the “Class …",neutral,0.9143688082695007
2025-06-28,Meta Exec Dismisses OpenAI's Sam Altman's Claims of $100 Million Signing Bonuses: 'Sam Is Just Being Dishonest Here',"A top-ranking executive at Meta Platforms Inc. has leveled accusations of dishonesty against Sam Altman, the leader of OpenAI. What Happened: The allegations pertain to claims of $100 million signing bonuses offered by Meta to lure leading AI researchers awa…",negative,0.9074167013168335
2025-06-28,"DV Investors Have the Opportunity to Lead the DoubleVerify Securities Fraud Lawsuit with Faruqi & Faruqi, LLP","Faruqi & Faruqi, LLP Securities Litigation Partner James (Josh) Wilson Encourages Investors Who Suffered Losses Exceeding $75,000 In DoubleVerify To Contact Him Directly To Discuss Their Options",neutral,0.8284417390823364
