date,title,description,sentiment,confidence
2025-07-02,"Microsoft cuts 9,000 jobs in latest round of layoffs","Microsoft Corp. today launched a round of job cuts that is expected to affect 9,000 employees, or about 4% of its workforce. CNBC reported that the layoffs impact staffers across multiple units, experience levels and locations. Those locations include Micros…",negative,0.9676011800765991
2025-07-02,Prime Members: 30-Count Brightown Double Hook Light Clips w/ 35 Adhesive Strips (Clear) $3.99 + Free Shipping,Brilliant Light Inc via Amazon [amazon.com] has for *Prime Members: 30-Count Brightown Double Hook Light Clips w/ 35 Adhesive Strips (Clear)* on sale for $7.98 - 50% off when you clip the coupon code...,neutral,0.9111663103103638
2025-07-02,Bezos unloads US$737 million of Amazon stock in year’s first sale,"The sale, netting him US$736.7 million, coincided with his star-studded wedding to Lauren Sanchez in Venice. Find out more here.",neutral,0.9203950762748718
2025-07-02,"On theCUBE Pod: The robotics debate, stablecoins and the AI race continues","A new digital order is taking shape, with artificial intelligence scaling beyond tools into full systems. AI-driven robotics is shifting from novelty to infrastructure, and programmable capital is moving from speculation to real-world economic layers. In the …",neutral,0.8929048776626587
2025-07-02,"Apple, Alphabet and Tesla are holding back the S&P 500 rally",The three Magnificent Seven stocks have been a more than 120 point drag on the market-capitalization weighted S&P 500. Find out more,neutral,0.5391893982887268
2025-07-02,Amazon Stock (NASDAQ: AMZN) Price Prediction and Forecast 2025-2030 for July 2,"Shares of Amazon.com Inc. (NASDAQ: AMZN) gained 2.84% over the past five trading sessions, bringing the e-commerce and cloud storage services giant’s one-month gain to 6.68%. On the year, the stock is now up 0.11%. On July 1, it was reported that AMZN founder…",positive,0.9291571378707886
2025-07-02,Jeff Bezos Sells $737 Million Worth of Amazon Shares,"Jeff Bezos sold 3.3 million Amazon.com Inc. (NASDAQ: AMZN) shares according to a Form 4 filed with the SEC. These shares were worth about $737 million, based on Amazon’s stock price. Bezos has a program that allows him to sell up to 25 million shares between …",neutral,0.9460446238517761
2025-07-02,"Apple, Alphabet and Tesla are Holding the S&P 500 Rally Back",(Bloomberg) -- Investors may be tempted to imagine how much higher the S&P 500 Index would be if three of its most influential stocks weren’t lagging...,neutral,0.4720141589641571
2025-07-02,Nvidia reclaimed market value pole position in June,"The chipmaker's market value stood at $3.86 trillion at the end of June, about 4.3% higher than Microsoft Corp's $3.69 trillion valuation.",positive,0.9226279258728027
2025-07-02,Amazon’s AI And Robotic Investments Signal A Growing Human Workforce,"Progress is defined not by what workers are doing on the job, but what they’re no longer doing.",neutral,0.8772602081298828
2025-07-02,Surveillance & Monitoring Expected to be Largest Revenue Opportunity for Drone as a Service (DaaS) Market Through 2030,"PALM BEACH, Fla., July 02, 2025 (GLOBE NEWSWIRE) -- FN Media Group News Commentary - The drone surveying market is expected to continue to sustain and continue to gain momentum due to increasing demand for aerial intelligence and high-precision mapping across…",positive,0.9335808753967285
