date,title,description,sentiment,confidence
2025-07-02,"'Lucrative' Business Deals Help Sustain Israel's Destruction Of Gaza, UN Expert Says","A report by Francesca Albanese named more than 60 companies, including arms firms, that she said are involved in Israel's ""genocidal campaign,""",neutral,0.7239819169044495
2025-07-02,Argon AI raises $5.5M to build AI-native workspace for biopharma teams,"Argon AI Inc., the developer of an artificial intelligence-native workspace platform purpose-built for life sciences, today announced it raised $5.5 million in seed funding to bring insights to biopharmaceutical teams based on their internal data and the vast…",positive,0.8382447957992554
2025-07-02,"Apple, Alphabet and Tesla are holding the S&P 500 rally back","(Bloomberg/Carmen Reinicke) — Investors may be tempted to imagine how much higher the S&P 500 Index would be if three of its most influential stocks weren’t lagging behind. Apple Inc., the third-most-valuable company in the S&P 500, has seen its shares drop 1…",negative,0.9713214635848999
2025-07-02,"Apple, Alphabet and Tesla are Holding the S&P 500 Rally Back","In This Article: (Bloomberg) -- Investors may be tempted to imagine how much higher the S&P 500 Index would be if three of its most influential stocks weren’t lagging behind. Most Read from Bloomberg Apple Inc., the third-most-valuable company in the S&P 500,…",neutral,0.6920727491378784
2025-07-02,"Apple, Alphabet and Tesla are holding back the S&P 500 rally",The three Magnificent Seven stocks have been a more than 120 point drag on the market-capitalization weighted S&P 500. Find out more,neutral,0.5391893982887268
2025-07-02,"Apple, Alphabet and Tesla are Holding the S&P 500 Rally Back",(Bloomberg) -- Investors may be tempted to imagine how much higher the S&P 500 Index would be if three of its most influential stocks weren’t lagging...,neutral,0.4720141589641571
2025-07-02,Google Owes $314 Million for Misusing Android Cell Phone Data,Google was told by a California jury to pay $314 million over claims that it illegally used Android users’ cellular data to collect information without their knowledge. A state court jury in San Jose issued the verdict Tuesday following a …,negative,0.8225085139274597
2025-07-02,Honor Looks to Outshine Samsung with Extremely Thin Foldable Phone,"Chinese hardware brand Honor announced a slimmer foldable phone, a bid to out-design Samsung Electronics Co. days before it launches its own new foldable devices.",positive,0.638496994972229
2025-07-02,Google ends recipe pilot that left creators fearing web-traffic hit,"Google has ended its Recipe Quick View test, which showed cooking content directly in search results, easing concerns among food bloggers about lost traffic and ad revenue. The decision comes amid broader debates on AI, content rights, and creator compensatio…",negative,0.9597606062889099
2025-07-02,Amazon.com (AMZN) Fell Due To the Rotation Away from Hyperscalers,"Qualivian Investment Partners, an investment partnership focused on long-only public equities, released its Q1 2025 investor letter. A copy of the letter can...",neutral,0.5412886142730713
2025-07-02,Here are the Reasons to Establish a Position in Alphabet (GOOGL),"Qualivian Investment Partners, an investment partnership focused on long-only public equities, released its Q1 2025 investor letter. A copy of the letter can...",neutral,0.921815037727356
2025-07-02,Here's What to Expect From Alphabet's Next Earnings Report,"Alphabet will release its second-quarter earnings later this month, and analysts anticipate a double-digit bottom-line growth.",positive,0.593669593334198
2025-07-02,Beacon Financial Advisory LLC Raises Position in Alphabet Inc. (NASDAQ:GOOGL),"Beacon Financial Advisory LLC raised its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 8.4% during the 1st quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The fund owned 10,150 shares of the…",positive,0.9078419208526611
2025-07-02,Alphabet Inc. (NASDAQ:GOOGL) Shares Bought by Falcon Wealth Planning,"Falcon Wealth Planning raised its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 15.7% in the 1st quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional investor owned 9,898 shares of t…",positive,0.7592741250991821
2025-07-01,AI programming fuels venture capital surge amid tech giants' rivalry,"The AI programming sector is experiencing a surge in venture capital investment as startups like Anysphere and Windsurf command multibillion-dollar valuations despite being unprofitable. Simultaneously, technology giants Microsoft and Alphabet Inc. are intens…",positive,0.8839128613471985
2025-07-01,"UN Expert Exposes Companies Aiding Israel’s Genocide, Occupation in Palestine","Amazon, Blackrock, and Keller Williams LLC are some of the companies named in the report.",neutral,0.8680552244186401
2025-07-01,UN report lists companies complicit in Israel’s ‘genocide’: Who are they?,UN Special Rapporteur Francesca Albanese has named several US giants among the companies aiding Israel.,neutral,0.7476039528846741
2025-07-01,Google's note-taking app Keep is dead on Apple Watch,"Google just pulled its note-taking app Keep from Apple Watch, extending a long and storied history of Google killing off products.Google just pulled its note-taking app KeepAlphabet Inc.'s Google pulled its Keep note-taking app from Apple Watch with an update…",negative,0.7014818787574768
2025-07-01,Earnings Preview: What to Expect From Alphabet's Report,"Alphabet will release its second-quarter earnings later this month, and analysts anticipate a double-digit bottom-line growth.",positive,0.7454367280006409
2025-07-01,"Nova R Wealth Inc. Has $619,000 Stake in Alphabet Inc. (NASDAQ:GOOGL)","Nova R Wealth Inc. increased its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 6.7% in the 1st quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The institutional investor owned 4,005 shares of the informatio…",positive,0.7809336185455322
2025-07-01,"44 Public Companies Make Time's Most Influential List: Coinbase, UFC, Nintendo, Netflix And More Stocks Investors Can Buy","Time Magazine’s annual 100 Most Influential Companies list for 2025 includes many companies investors are familiar with, with numerous names originating from...",neutral,0.9118914604187012
2025-07-01,Western Wealth Management LLC Reduces Stake in Alphabet Inc. (NASDAQ:GOOGL),"Western Wealth Management LLC lowered its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 0.3% in the 1st quarter, Holdings Channel reports. The firm owned 85,326 shares of the information services provider’s stock after selling 291 shares during the q…",negative,0.9198734164237976
2025-07-01,Alphabet Inc. (NASDAQ:GOOGL) Shares Sold by Nvest Financial LLC,"Nvest Financial LLC lessened its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 0.4% in the 1st quarter, according to its most recent filing with the SEC. The firm owned 20,760 shares of the information services provider’s stock after selling 91 share…",positive,0.6858999133110046
