date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-13,AAPL,83,15,46,22,0.7668,0.8283,0.8399
2025-07-13,MSFT,83,38,26,19,0.842,0.813,0.8971
2025-07-13,GOOGL,83,38,20,25,0.7887,0.8698,0.9025
2025-07-13,AMZN,14,7,5,2,0.8441,0.8867,0.9007
2025-07-13,NVDA,84,37,28,19,0.8476,0.8994,0.9054
2025-07-13,META,77,27,28,22,0.8207,0.8086,0.8643
2025-07-13,TSLA,83,21,37,25,0.7751,0.7988,0.7991
2025-07-13,BRK-B,26,4,20,2,0.8215,0.9361,0.9246
2025-07-13,UNH,26,2,20,4,0.8958,0.8852,0.8351
2025-07-13,JPM,84,28,16,40,0.8049,0.7484,0.8912
